model,actual_label,predicted_label,count
SVM_RBF,clasp,clasp,233
SVM_RBF,clasp,down,0
SVM_RBF,clasp,home,0
SVM_RBF,clasp,lb,0
SVM_RBF,clasp,left,0
SVM_RBF,clasp,leftrunning,0
SVM_RBF,clasp,lt,0
SVM_RBF,clasp,paper,0
SVM_RBF,clasp,rb,0
SVM_RBF,clasp,right,0
SVM_RBF,clasp,rock,0
SVM_RBF,clasp,rt,0
SVM_RBF,clasp,scissors,0
SVM_RBF,clasp,thumb,0
SVM_RBF,clasp,up,0
SVM_RBF,down,clasp,0
SVM_RBF,down,down,161
SVM_RBF,down,home,0
SVM_RBF,down,lb,0
SVM_RBF,down,left,0
SVM_RBF,down,leftrunning,0
SVM_RBF,down,lt,0
SVM_RBF,down,paper,0
SVM_RBF,down,rb,0
SVM_RBF,down,right,0
SVM_RBF,down,rock,0
SVM_RBF,down,rt,0
SVM_RBF,down,scissors,0
SVM_RBF,down,thumb,0
SVM_RBF,down,up,0
SVM_RBF,home,clasp,0
SVM_RBF,home,down,0
SVM_RBF,home,home,196
SVM_RBF,home,lb,0
SVM_RBF,home,left,0
SVM_RBF,home,leftrunning,0
SVM_RBF,home,lt,0
SVM_RBF,home,paper,0
SVM_RBF,home,rb,2
SVM_RBF,home,right,0
SVM_RBF,home,rock,0
SVM_RBF,home,rt,0
SVM_RBF,home,scissors,0
SVM_RBF,home,thumb,0
SVM_RBF,home,up,0
SVM_RBF,lb,clasp,0
SVM_RBF,lb,down,0
SVM_RBF,lb,home,0
SVM_RBF,lb,lb,180
SVM_RBF,lb,left,0
SVM_RBF,lb,leftrunning,0
SVM_RBF,lb,lt,0
SVM_RBF,lb,paper,0
SVM_RBF,lb,rb,0
SVM_RBF,lb,right,0
SVM_RBF,lb,rock,0
SVM_RBF,lb,rt,0
SVM_RBF,lb,scissors,0
SVM_RBF,lb,thumb,0
SVM_RBF,lb,up,0
SVM_RBF,left,clasp,0
SVM_RBF,left,down,0
SVM_RBF,left,home,0
SVM_RBF,left,lb,0
SVM_RBF,left,left,144
SVM_RBF,left,leftrunning,0
SVM_RBF,left,lt,0
SVM_RBF,left,paper,0
SVM_RBF,left,rb,0
SVM_RBF,left,right,0
SVM_RBF,left,rock,0
SVM_RBF,left,rt,0
SVM_RBF,left,scissors,0
SVM_RBF,left,thumb,0
SVM_RBF,left,up,0
SVM_RBF,leftrunning,clasp,0
SVM_RBF,leftrunning,down,0
SVM_RBF,leftrunning,home,0
SVM_RBF,leftrunning,lb,0
SVM_RBF,leftrunning,left,0
SVM_RBF,leftrunning,leftrunning,59
SVM_RBF,leftrunning,lt,0
SVM_RBF,leftrunning,paper,1
SVM_RBF,leftrunning,rb,0
SVM_RBF,leftrunning,right,0
SVM_RBF,leftrunning,rock,0
SVM_RBF,leftrunning,rt,0
SVM_RBF,leftrunning,scissors,0
SVM_RBF,leftrunning,thumb,0
SVM_RBF,leftrunning,up,0
SVM_RBF,lt,clasp,0
SVM_RBF,lt,down,0
SVM_RBF,lt,home,0
SVM_RBF,lt,lb,0
SVM_RBF,lt,left,0
SVM_RBF,lt,leftrunning,0
SVM_RBF,lt,lt,198
SVM_RBF,lt,paper,0
SVM_RBF,lt,rb,0
SVM_RBF,lt,right,0
SVM_RBF,lt,rock,0
SVM_RBF,lt,rt,0
SVM_RBF,lt,scissors,0
SVM_RBF,lt,thumb,0
SVM_RBF,lt,up,0
SVM_RBF,paper,clasp,0
SVM_RBF,paper,down,0
SVM_RBF,paper,home,0
SVM_RBF,paper,lb,2
SVM_RBF,paper,left,0
SVM_RBF,paper,leftrunning,3
SVM_RBF,paper,lt,0
SVM_RBF,paper,paper,139
SVM_RBF,paper,rb,0
SVM_RBF,paper,right,0
SVM_RBF,paper,rock,1
SVM_RBF,paper,rt,0
SVM_RBF,paper,scissors,0
SVM_RBF,paper,thumb,0
SVM_RBF,paper,up,0
SVM_RBF,rb,clasp,0
SVM_RBF,rb,down,0
SVM_RBF,rb,home,0
SVM_RBF,rb,lb,0
SVM_RBF,rb,left,0
SVM_RBF,rb,leftrunning,0
SVM_RBF,rb,lt,0
SVM_RBF,rb,paper,0
SVM_RBF,rb,rb,150
SVM_RBF,rb,right,0
SVM_RBF,rb,rock,0
SVM_RBF,rb,rt,0
SVM_RBF,rb,scissors,0
SVM_RBF,rb,thumb,0
SVM_RBF,rb,up,0
SVM_RBF,right,clasp,0
SVM_RBF,right,down,0
SVM_RBF,right,home,0
SVM_RBF,right,lb,0
SVM_RBF,right,left,0
SVM_RBF,right,leftrunning,0
SVM_RBF,right,lt,0
SVM_RBF,right,paper,0
SVM_RBF,right,rb,0
SVM_RBF,right,right,180
SVM_RBF,right,rock,0
SVM_RBF,right,rt,0
SVM_RBF,right,scissors,0
SVM_RBF,right,thumb,0
SVM_RBF,right,up,0
SVM_RBF,rock,clasp,0
SVM_RBF,rock,down,0
SVM_RBF,rock,home,0
SVM_RBF,rock,lb,0
SVM_RBF,rock,left,6
SVM_RBF,rock,leftrunning,0
SVM_RBF,rock,lt,0
SVM_RBF,rock,paper,0
SVM_RBF,rock,rb,0
SVM_RBF,rock,right,0
SVM_RBF,rock,rock,243
SVM_RBF,rock,rt,0
SVM_RBF,rock,scissors,0
SVM_RBF,rock,thumb,0
SVM_RBF,rock,up,1
SVM_RBF,rt,clasp,0
SVM_RBF,rt,down,0
SVM_RBF,rt,home,0
SVM_RBF,rt,lb,0
SVM_RBF,rt,left,0
SVM_RBF,rt,leftrunning,0
SVM_RBF,rt,lt,0
SVM_RBF,rt,paper,0
SVM_RBF,rt,rb,0
SVM_RBF,rt,right,0
SVM_RBF,rt,rock,0
SVM_RBF,rt,rt,174
SVM_RBF,rt,scissors,0
SVM_RBF,rt,thumb,0
SVM_RBF,rt,up,0
SVM_RBF,scissors,clasp,0
